School District,School,County,Type of Organization,Number of Outlets,Any Buildings with Lead-Free Plumbing?,Previously Sampled Outlets,Outlets Waiver Requested,Waivers Granted,Outlets Sampled After Regulation,Sampling Complete,Sampling Completion Date,"Number of Outlets, Result ≤ 15 ppb","Number of Outlets, Result > 15 ppb",Out of Service,All Results Received	,Date All Results Received,School Website	,BEDS Code,School Street ,School City,School State,School Zip Code,Date Sampling Updated,Date Results Updated,County Location,Location
ALBANY CITY SCHOOL DISTRICT,WEST HILL MIDDLE SCHOOL,Albany,Public School,50,No,0,0,0,50,Yes,10/09/2016,47,3,Yes,Yes,12/05/2016,http://www.albanyschools.com/,010100010046,,,,,11/16/2016,12/07/2016,"(42.678066, -73.814233)",
BOCES No District Name,WSWHE BOCES SOUTH ADIRONDACK EDUCATIONAL CENTER BUILDING K (LEAD ONLY),Washington,BOCES School,,No,,,,,No,,,,No,No,,,649000000059,1051 DIX AVENUE,HUDSONFALLS,NY,12839,,,"(43.289513, -73.454761)","1051 DIX AVENUE
HUDSONFALLS, NY 12839
(43.31929929900008, -73.59206215299997)"
BUFFALO CITY SCHOOLS,PS 48 AT 39 SCHOOL,Erie,Public School,129,No,0,0,0,129,Yes,09/24/2016,119,10,Yes,Yes,11/02/2016,www.buffaloschools.org,140600010048,,,,,01/20/2017,01/20/2017,"(42.888143, -78.795544)",
BUFFALO CITY SCHOOLS,PS 91 B.U.I.L.D. ACADEMY,Erie,Public School,107,No,0,0,0,107,Yes,09/24/2016,102,5,Yes,Yes,10/24/2016,www.buffaloschools.org,140600010032,,,,,01/20/2017,01/20/2017,"(42.888143, -78.795544)",
BUFFALO CITY SCHOOLS,PS 90 DR. CHARLES R DREW EARLY CHILDHOOD CENTER,Erie,Public School,92,No,0,0,0,92,Yes,09/22/2016,91,1,Yes,Yes,11/14/2016,www.buffaloschools.org,140600010090,,,,,02/06/2017,01/20/2017,"(42.888143, -78.795544)",
BUFFALO CITY SCHOOLS,PS 200 BENNETT HIGH SCHOOL,Erie,Public School,161,No,0,0,0,161,Yes,10/04/2016,158,3,Yes,Yes,11/11/2016,www.buffaloschools.org,140600010099,,,,,01/20/2017,01/20/2017,"(42.888143, -78.795544)",
BUFFALO CITY SCHOOLS,PS 68 WESTMINSTER COMMUNITY CHARTER SCHOOL,Erie,Public School,58,No,0,0,0,58,Yes,09/24/2016,58,0,Yes,Yes,09/26/2016,www.buffaloschools.org,140600010068,,,,,01/26/2017,01/26/2017,"(42.888143, -78.795544)",
BUFFALO CITY SCHOOLS,PS 204 LAFAYETTE HIGH SCHOOL,Erie,Public School,75,No,0,0,0,75,Yes,10/04/2016,64,11,Yes,Yes,11/02/2016,www.buffaloschools.org,140600010107,,,,,01/20/2017,01/20/2017,"(42.888143, -78.795544)",
BUFFALO CITY SCHOOLS,PS 307 EAST HIGH SCHOOL,Erie,Public School,112,No,0,0,0,112,Yes,10/05/2016,100,12,Yes,Yes,11/10/2016,www.buffaloschools.org,140600010307,,,,,01/20/2017,01/20/2017,"(42.888143, -78.795544)",
CENTRAL SQUARE CENTRAL SCHOOL,CENTRAL SQUARE INTERMEDIATE SCHOOL,Oswego,Public School,87,No,32,0,0,50,Yes,09/29/2016,75,12,Yes,Yes,10/20/2016,http://www.cssd.org/,460801060003,,,,,11/08/2016,11/08/2016,"(43.39123, -76.31133)",
